Imputation,Mechanism,Model,Metric,Fold,Value,SE,CI_Lower,CI_Upper
MIDA,mar,GradientBoosting,C-index (CV),5,0.33691756272401435,,,
MIDA,mar,GradientBoosting,C-index (CV),6,0.6116504854368932,,,
MIDA,mar,GradientBoosting,C-index (CV),7,0.4838709677419355,,,
MIDA,mar,GradientBoosting,C-index (CV),8,0.5824175824175825,,,
MIDA,mar,GradientBoosting,C-index (CV),9,0.4666666666666667,,,
MIDA,mar,GradientBoosting,C-index (CV),10,0.6560975609756098,,,
MIDA,mar,GradientBoosting,C-index (Test),Test,0.5637254901960784,,,
MIDA,mar,GradientBoosting,IBS (Test),Test,0.07451572251841646,,,
MIDA,mar,DeepSurv,C-index (CV),1,0.8533333333333334,,,
MIDA,mar,DeepSurv,C-index (CV),2,0.35039370078740156,,,
MIDA,mar,DeepSurv,C-index (CV),3,0.6342592592592593,,,
MIDA,mar,DeepSurv,C-index (CV),4,0.6781609195402298,,,
MIDA,mar,DeepSurv,C-index (CV),5,0.7598566308243727,,,
MIDA,mar,DeepSurv,C-index (CV),6,0.47572815533980584,,,
MIDA,mar,DeepSurv,C-index (CV),7,0.7701612903225806,,,
MIDA,mar,DeepSurv,C-index (CV),8,0.6813186813186813,,,
MIDA,mar,DeepSurv,C-index (CV),9,0.6533333333333333,,,
MIDA,mar,DeepSurv,C-index (CV),10,0.926829268292683,,,
MIDA,mar,DeepSurv,C-index (Test),Test,0.6830065359477124,,,
MIDA,mcar,RSF,C-index (CV),1,0.7933333333333333,,,
MIDA,mcar,RSF,C-index (CV),2,0.7716535433070866,,,
MIDA,mcar,RSF,C-index (CV),3,0.6759259259259259,,,
MIDA,mcar,RSF,C-index (CV),4,0.7068965517241379,,,
MIDA,mcar,RSF,C-index (CV),5,0.5197132616487455,,,
MIDA,mcar,RSF,C-index (CV),6,0.8980582524271845,,,
MIDA,mcar,RSF,C-index (CV),7,0.4798387096774194,,,
MIDA,mcar,RSF,C-index (CV),8,0.6758241758241759,,,
MIDA,mcar,RSF,C-index (CV),9,0.9133333333333333,,,
MIDA,mcar,RSF,C-index (CV),10,0.7609756097560976,,,
MIDA,mcar,RSF,C-index (Test),Test,0.9575163398692811,,,
MIDA,mcar,RSF,IBS (Test),Test,0.06448841825637235,,,
MIDA,mcar,XGBoost,C-index (CV),1,0.8433333333333334,,,
MIDA,mcar,XGBoost,C-index (CV),2,0.7716535433070866,,,
MIDA,mcar,XGBoost,C-index (CV),3,0.5509259259259259,,,
MIDA,mcar,XGBoost,C-index (CV),4,0.6206896551724138,,,
MIDA,mcar,XGBoost,C-index (CV),5,0.6594982078853047,,,
MIDA,mcar,XGBoost,C-index (CV),6,0.970873786407767,,,
MIDA,mcar,XGBoost,C-index (CV),7,0.4435483870967742,,,
MIDA,mcar,XGBoost,C-index (CV),8,0.6813186813186813,,,
